111839,87319
24999,62460
86430,248306
237898,50195
460084,34090
60832,337402
460084,60832
88319,6700
191752,69355
995,452451
155853,995
8601,156228
162283,264
226952,3141
114883,72942
240652,42994
316769,59473
519244,297691
519244,436154
62999,56014
75579,62999
22618,7851
60585,31853
12219,361398
133806,57663
133806,128757
132970,82746
447795,132970
63255,94544
54845,80893
2767,269503
184115,297854
153008,184115
497503,129718
42673,497503
13198,30171
80501,13198
141840,62656
4665,6140
21441,91681
266110,21441
299876,30005
334255,47578
17594,11534
198697,49975
455816,375761
237624,108138
457929,33271
228774,299043
237624,228774
198697,237624
289661,183016
61043,6392
104931,44437
20056,160958
273004,83713
273004,83714
273004,91663
47208,82311
101924,177038
76451,199197
331596,142585
481638,185723
481638,229516
408407,268362
94565,295307
312133,87991
26592,166470
274382,40916
364861,44184
10061,63875
172135,145101
366075,521227
282433,130768
282433,439757
357536,79773
162328,93956
296925,21561
231182,31073
104589,7936
546826,486156
50742,14747
171878,125439
46175,8654
80532,33445
23027,10146
303711,30546
318503,353406
189303,2655
5826,165932
154143,291158
337971,20063
337971,42774
246266,181531
130918,246266
1740,80046
340619,195781
340619,480932
66519,59116
235086,36403
258055,93874
23698,62003
41130,441385
140233,29698
112447,116492
529813,20864
112447,529813
108189,112447
175209,245057
130597,34868
308204,143322
270494,282
134326,6999
296397,15055
49374,46085
519581,75191
132458,40122
350518,9714
17663,62942
178983,37413
56813,92398
336814,56813
130252,30345
3940,55993
3940,81955
467767,15087
54060,29365
286021,112425
152820,371247
190139,21056
510141,83584
202075,64161
31051,10016
100567,46273
129466,11964
74357,131635
199711,239261
503798,424681
69273,131920
18380,135080
133850,174555
62489,51185
100750,62489
235162,371745
24056,82921
79549,4981
16335,51851
16335,433010
58372,16335
34913,81376
290175,19714
60088,101076
60088,201720
402875,393351
29309,402875
81227,29309
112650,40436
165697,181935
464878,21996
529081,77161
477682,194538
417942,79292
424957,3565
458856,14722
19036,408081
276824,19036
119801,270411
162220,119801
61834,41608
87784,59969
5162,87784
5162,178919
456363,37892
17989,94735
333674,4522
11443,88834
217662,161353
123948,150147
123275,106113
9286,123275
28359,545153
275344,401598
101034,32969
113405,160116
70694,6226
24287,238213
26512,91759
159353,29449
546761,135145
38701,16680
117695,66542
119774,77439
469376,119774
91677,7615
105150,160351
171270,51565
2523,478840
48721,368855
48721,532597
342327,48721
87226,39878
26377,84845
112865,2051
23641,232266
62940,23852
220739,54472
206233,247763
53745,9349
289499,861
289499,288195
250898,56845
152161,53691
76203,12785
133312,20648
384167,109673
30645,53279
65506,236309
48165,122121
500296,453245
153026,100129
250427,9095
9824,270414
170774,298284
52503,327637
503382,52503
91605,211261
329500,123360
284095,21097
157418,82604
4847,267106
425210,48301
108977,556
228582,101618
284825,222
158290,362578
14115,53786
14115,95148
66944,144575
455218,66944
291738,223312
171283,77206
36809,94300
111649,37585
196413,409293
373783,97845
