27750,1018
113,37699
880,20050
6682,14205
5832,20590
16582,585
7661,1235
35319,2803
3001,27446
6255,908
5630,39922
33223,7541
3458,25448
5865,4670
1389,35
4499,18492
50865,2492
572,781
31010,5089
50081,2634
7724,25342
2374,13366
43406,2246
236,7583
406,33839
1859,30411
18970,11413
2189,8243
15584,1982
3906,6635
841,1972
44225,9075
8168,7486
6589,2973
22015,16427
2981,22268
2250,19271
2250,31629
15137,6281
10981,3119
31436,43877
43877,39945
32263,675
22555,19610
5767,47874
2540,2411
4413,26615
44994,2599
2599,1452
35792,46183
28603,51781
1392,42064
9088,38492
890,35203
15603,2292
6869,2728
37803,39904
27776,288
11356,2051,21834
23430,2051
45535,27713
1150,19611
40962,1658
17452,18855
29071,5739
43545,37403
53302,11011
8519,37138
28059,24667
8977,9132
7449,24057
8472,53188
29577,3004
2207,42640
43112,11204
36583,2252
12807,4060
8626,31495
28284,6507
1597,39374
33448,16574
3823,46766
37401,741
35321,14391
40023,4765
46023,37439,4174
37200,24579
5737,17791
3199,38392
53262,17709
35475,6815
2151,12169
10124,3383
48948,5433
48654,26601
13237,14240
13039,10331
3057,16708
13399,12338
5492,38629
53981,12071
14558,22061
14303,3967
46945,1543
4107,27817
34190,8684
47443,2366
26726,2366
12393,17833
10793,37379
1651,15899
18131,15899
37732,52573
5351,17968
40834,25963
40834,24306
3241,53378
8446,14958
31423,47408
23755,208
11558,24883
28513,2232
4429,5102,38022,6748
5102,34155
910,34155,51566
48078,48164
9798,13263
40346,20116
11583,22974
34153,3859
50104,3859
36641,3136
3136,5822
8787,18453
818,6858
10921,483
1355,18062,22398
9409,38154
13271,978
20635,978
365,31509
9600,5895
46893,5939
14498,8174
47341,25708
6918,10642
1431,46056
3890,2107
4803,10841
30066,3542
3498,32662
32662,3952
44119,246
32561,9569
5289,54082
10079,693
10086,23318
6480,6538
35293,15381
42229,16328
17119,52570
20344,12131
27811,12131
46580,10341
9791,15645
47873,7575
19739,20604,48176,24910,8729
11615,7546
13860,14523
7399,36771
11351,1053
16901,11296
1481,16550
26453,14516
41621,2231
9936,11034
12640,21080
40288,20466
22130,36430
7623,36430
22096,30059
1857,20094
4275,15796
41269,41367
16752,41629
7744,43397
21774,6569
